instance,n,Q,greedy,ga_best,ga_mean,ga_std,ga_worst,cv_pct,improvement_pct,avg_time_s,n_runs,optimum,gap_to_optimum_pct
S1_n10,10,50,386.90,321.73,321.73,0.00,321.73,0.00,16.84,0.132,5,321.73,0.000
S2_n15,15,50,383.51,329.48,333.06,3.46,338.72,1.04,14.09,0.230,5,,
S3_n20,20,60,443.46,381.60,385.99,3.76,390.94,0.97,13.95,0.342,5,,
M1_n30,30,80,538.04,476.00,488.60,13.83,514.03,2.83,11.53,0.607,5,,
M2_n40,40,100,653.69,646.72,656.23,8.03,669.42,1.22,1.07,0.807,5,,
M3_n50,50,100,748.90,716.20,725.35,6.01,732.63,0.83,4.37,1.281,5,,
L1_n75,75,120,867.24,897.45,916.72,12.74,937.23,1.39,-3.48,1.741,5,,
L2_n100,100,150,975.73,1008.11,1050.37,24.61,1071.82,2.34,-3.32,2.223,5,,
L3_n125,125,150,1349.74,1403.81,1441.41,21.57,1468.16,1.50,-4.01,2.764,5,,
L4_n150,150,200,1101.46,1241.30,1307.60,41.11,1360.74,3.14,-12.70,3.160,5,,
